Time,Time Code,Country,Country Code,"Agr: Food, 2010=100, real 2010$ [KIFOOD]","Agr: Food: Grains, 2010=100, real 2010$ [KIGRAINS]","Agr: Raw materials, 2010=100, real 2010$ [KIRAW_MATERIAL]"
1960,1960,World,WLD,110.03291326939,122.38291997175,115.48802775192
1960M01,1960M01,World,WLD,..,..,..
1960M02,1960M02,World,WLD,..,..,..
1960M03,1960M03,World,WLD,..,..,..
1960M04,1960M04,World,WLD,..,..,..
1960M05,1960M05,World,WLD,..,..,..
1960M06,1960M06,World,WLD,..,..,..
1960M07,1960M07,World,WLD,..,..,..
1960M08,1960M08,World,WLD,..,..,..
1960M09,1960M09,World,WLD,..,..,..
1960M10,1960M10,World,WLD,..,..,..
1960M11,1960M11,World,WLD,..,..,..
1960M12,1960M12,World,WLD,..,..,..
1961,1961,World,WLD,114.10407984741,124.65751773612,106.27428720572
1961M01,1961M01,World,WLD,..,..,..
1961M02,1961M02,World,WLD,..,..,..
1961M03,1961M03,World,WLD,..,..,..
1961M04,1961M04,World,WLD,..,..,..
1961M05,1961M05,World,WLD,..,..,..
1961M06,1961M06,World,WLD,..,..,..
1961M07,1961M07,World,WLD,..,..,..
1961M08,1961M08,World,WLD,..,..,..
1961M09,1961M09,World,WLD,..,..,..
1961M10,1961M10,World,WLD,..,..,..
1961M11,1961M11,World,WLD,..,..,..
1961M12,1961M12,World,WLD,..,..,..
1962,1962,World,WLD,110.86675454513,134.90556007665,102.70835143355
1962M01,1962M01,World,WLD,..,..,..
1962M02,1962M02,World,WLD,..,..,..
1962M03,1962M03,World,WLD,..,..,..
1962M04,1962M04,World,WLD,..,..,..
1962M05,1962M05,World,WLD,..,..,..
1962M06,1962M06,World,WLD,..,..,..
1962M07,1962M07,World,WLD,..,..,..
1962M08,1962M08,World,WLD,..,..,..
1962M09,1962M09,World,WLD,..,..,..
1962M10,1962M10,World,WLD,..,..,..
1962M11,1962M11,World,WLD,..,..,..
1962M12,1962M12,World,WLD,..,..,..
1963,1963,World,WLD,126.3432595368,140.4957650486,101.47725431852
1963M01,1963M01,World,WLD,..,..,..
1963M02,1963M02,World,WLD,..,..,..
1963M03,1963M03,World,WLD,..,..,..
1963M04,1963M04,World,WLD,..,..,..
1963M05,1963M05,World,WLD,..,..,..
1963M06,1963M06,World,WLD,..,..,..
1963M07,1963M07,World,WLD,..,..,..
1963M08,1963M08,World,WLD,..,..,..
1963M09,1963M09,World,WLD,..,..,..
1963M10,1963M10,World,WLD,..,..,..
1963M11,1963M11,World,WLD,..,..,..
1963M12,1963M12,World,WLD,..,..,..
1964,1964,World,WLD,123.81783258213,139.6651512152,97.30751818342
1964M01,1964M01,World,WLD,..,..,..
1964M02,1964M02,World,WLD,..,..,..
1964M03,1964M03,World,WLD,..,..,..
1964M04,1964M04,World,WLD,..,..,..
1964M05,1964M05,World,WLD,..,..,..
1964M06,1964M06,World,WLD,..,..,..
1964M07,1964M07,World,WLD,..,..,..
1964M08,1964M08,World,WLD,..,..,..
1964M09,1964M09,World,WLD,..,..,..
1964M10,1964M10,World,WLD,..,..,..
1964M11,1964M11,World,WLD,..,..,..
1964M12,1964M12,World,WLD,..,..,..
1965,1965,World,WLD,120.33923536418,134.40509923715,96.82486221495
1965M01,1965M01,World,WLD,..,..,..
1965M02,1965M02,World,WLD,..,..,..
1965M03,1965M03,World,WLD,..,..,..
1965M04,1965M04,World,WLD,..,..,..
1965M05,1965M05,World,WLD,..,..,..
1965M06,1965M06,World,WLD,..,..,..
1965M07,1965M07,World,WLD,..,..,..
1965M08,1965M08,World,WLD,..,..,..
1965M09,1965M09,World,WLD,..,..,..
1965M10,1965M10,World,WLD,..,..,..
1965M11,1965M11,World,WLD,..,..,..
1965M12,1965M12,World,WLD,..,..,..
1966,1966,World,WLD,120.01804727515,142.36301751081,98.20529862608
1966M01,1966M01,World,WLD,..,..,..
1966M02,1966M02,World,WLD,..,..,..
1966M03,1966M03,World,WLD,..,..,..
1966M04,1966M04,World,WLD,..,..,..
1966M05,1966M05,World,WLD,..,..,..
1966M06,1966M06,World,WLD,..,..,..
1966M07,1966M07,World,WLD,..,..,..
1966M08,1966M08,World,WLD,..,..,..
1966M09,1966M09,World,WLD,..,..,..
1966M10,1966M10,World,WLD,..,..,..
1966M11,1966M11,World,WLD,..,..,..
1966M12,1966M12,World,WLD,..,..,..
1967,1967,World,WLD,119.4617050693,151.2911640652,93.86865349131
1967M01,1967M01,World,WLD,..,..,..
1967M02,1967M02,World,WLD,..,..,..
1967M03,1967M03,World,WLD,..,..,..
1967M04,1967M04,World,WLD,..,..,..
1967M05,1967M05,World,WLD,..,..,..
1967M06,1967M06,World,WLD,..,..,..
1967M07,1967M07,World,WLD,..,..,..
1967M08,1967M08,World,WLD,..,..,..
1967M09,1967M09,World,WLD,..,..,..
1967M10,1967M10,World,WLD,..,..,..
1967M11,1967M11,World,WLD,..,..,..
1967M12,1967M12,World,WLD,..,..,..
1968,1968,World,WLD,113.02927374847,142.45986943206,93.73496755596
1968M01,1968M01,World,WLD,..,..,..
1968M02,1968M02,World,WLD,..,..,..
1968M03,1968M03,World,WLD,..,..,..
1968M04,1968M04,World,WLD,..,..,..
1968M05,1968M05,World,WLD,..,..,..
1968M06,1968M06,World,WLD,..,..,..
1968M07,1968M07,World,WLD,..,..,..
1968M08,1968M08,World,WLD,..,..,..
1968M09,1968M09,World,WLD,..,..,..
1968M10,1968M10,World,WLD,..,..,..
1968M11,1968M11,World,WLD,..,..,..
1968M12,1968M12,World,WLD,..,..,..
1969,1969,World,WLD,111.3616324134,133.23605678801,88.83688741907
1969M01,1969M01,World,WLD,..,..,..
1969M02,1969M02,World,WLD,..,..,..
1969M03,1969M03,World,WLD,..,..,..
1969M04,1969M04,World,WLD,..,..,..
1969M05,1969M05,World,WLD,..,..,..
1969M06,1969M06,World,WLD,..,..,..
1969M07,1969M07,World,WLD,..,..,..
1969M08,1969M08,World,WLD,..,..,..
1969M09,1969M09,World,WLD,..,..,..
1969M10,1969M10,World,WLD,..,..,..
1969M11,1969M11,World,WLD,..,..,..
1969M12,1969M12,World,WLD,..,..,..
1970,1970,World,WLD,113.68942163199,118.23557941851,84.34084568088
1970M01,1970M01,World,WLD,..,..,..
1970M02,1970M02,World,WLD,..,..,..
1970M03,1970M03,World,WLD,..,..,..
1970M04,1970M04,World,WLD,..,..,..
1970M05,1970M05,World,WLD,..,..,..
1970M06,1970M06,World,WLD,..,..,..
1970M07,1970M07,World,WLD,..,..,..
1970M08,1970M08,World,WLD,..,..,..
1970M09,1970M09,World,WLD,..,..,..
1970M10,1970M10,World,WLD,..,..,..
1970M11,1970M11,World,WLD,..,..,..
1970M12,1970M12,World,WLD,..,..,..
1971,1971,World,WLD,110.27205329029,112.04174475114,80.24627004177
1971M01,1971M01,World,WLD,..,..,..
1971M02,1971M02,World,WLD,..,..,..
1971M03,1971M03,World,WLD,..,..,..
1971M04,1971M04,World,WLD,..,..,..
1971M05,1971M05,World,WLD,..,..,..
1971M06,1971M06,World,WLD,..,..,..
1971M07,1971M07,World,WLD,..,..,..
1971M08,1971M08,World,WLD,..,..,..
1971M09,1971M09,World,WLD,..,..,..
1971M10,1971M10,World,WLD,..,..,..
1971M11,1971M11,World,WLD,..,..,..
1971M12,1971M12,World,WLD,..,..,..
1972,1972,World,WLD,108.42090892907,108.25656142478,73.56373513358
1972M01,1972M01,World,WLD,..,..,..
1972M02,1972M02,World,WLD,..,..,..
1972M03,1972M03,World,WLD,..,..,..
1972M04,1972M04,World,WLD,..,..,..
1972M05,1972M05,World,WLD,..,..,..
1972M06,1972M06,World,WLD,..,..,..
1972M07,1972M07,World,WLD,..,..,..
1972M08,1972M08,World,WLD,..,..,..
1972M09,1972M09,World,WLD,..,..,..
1972M10,1972M10,World,WLD,..,..,..
1972M11,1972M11,World,WLD,..,..,..
1972M12,1972M12,World,WLD,..,..,..
1973,1973,World,WLD,164.06324613462,182.46994732865,92.03124321672
1973M01,1973M01,World,WLD,..,..,..
1973M02,1973M02,World,WLD,..,..,..
1973M03,1973M03,World,WLD,..,..,..
1973M04,1973M04,World,WLD,..,..,..
1973M05,1973M05,World,WLD,..,..,..
1973M06,1973M06,World,WLD,..,..,..
1973M07,1973M07,World,WLD,..,..,..
1973M08,1973M08,World,WLD,..,..,..
1973M09,1973M09,World,WLD,..,..,..
1973M10,1973M10,World,WLD,..,..,..
1973M11,1973M11,World,WLD,..,..,..
1973M12,1973M12,World,WLD,..,..,..
1974,1974,World,WLD,183.83728198387,219.3967486911,85.08981765959
1974M01,1974M01,World,WLD,..,..,..
1974M02,1974M02,World,WLD,..,..,..
1974M03,1974M03,World,WLD,..,..,..
1974M04,1974M04,World,WLD,..,..,..
1974M05,1974M05,World,WLD,..,..,..
1974M06,1974M06,World,WLD,..,..,..
1974M07,1974M07,World,WLD,..,..,..
1974M08,1974M08,World,WLD,..,..,..
1974M09,1974M09,World,WLD,..,..,..
1974M10,1974M10,World,WLD,..,..,..
1974M11,1974M11,World,WLD,..,..,..
1974M12,1974M12,World,WLD,..,..,..
1975,1975,World,WLD,127.70166693052,156.8855141007,69.55084444213
1975M01,1975M01,World,WLD,..,..,..
1975M02,1975M02,World,WLD,..,..,..
1975M03,1975M03,World,WLD,..,..,..
1975M04,1975M04,World,WLD,..,..,..
1975M05,1975M05,World,WLD,..,..,..
1975M06,1975M06,World,WLD,..,..,..
1975M07,1975M07,World,WLD,..,..,..
1975M08,1975M08,World,WLD,..,..,..
1975M09,1975M09,World,WLD,..,..,..
1975M10,1975M10,World,WLD,..,..,..
1975M11,1975M11,World,WLD,..,..,..
1975M12,1975M12,World,WLD,..,..,..
1976,1976,World,WLD,113.68935092425,131.15416406451,87.698807354
1976M01,1976M01,World,WLD,..,..,..
1976M02,1976M02,World,WLD,..,..,..
1976M03,1976M03,World,WLD,..,..,..
1976M04,1976M04,World,WLD,..,..,..
1976M05,1976M05,World,WLD,..,..,..
1976M06,1976M06,World,WLD,..,..,..
1976M07,1976M07,World,WLD,..,..,..
1976M08,1976M08,World,WLD,..,..,..
1976M09,1976M09,World,WLD,..,..,..
1976M10,1976M10,World,WLD,..,..,..
1976M11,1976M11,World,WLD,..,..,..
1976M12,1976M12,World,WLD,..,..,..
1977,1977,World,WLD,109.16846165355,107.78247896074,80.99725559599
1977M01,1977M01,World,WLD,..,..,..
1977M02,1977M02,World,WLD,..,..,..
1977M03,1977M03,World,WLD,..,..,..
1977M04,1977M04,World,WLD,..,..,..
1977M05,1977M05,World,WLD,..,..,..
1977M06,1977M06,World,WLD,..,..,..
1977M07,1977M07,World,WLD,..,..,..
1977M08,1977M08,World,WLD,..,..,..
1977M09,1977M09,World,WLD,..,..,..
1977M10,1977M10,World,WLD,..,..,..
1977M11,1977M11,World,WLD,..,..,..
1977M12,1977M12,World,WLD,..,..,..
1978,1978,World,WLD,103.63269211745,111.35139644367,72.56334390609
1978M01,1978M01,World,WLD,..,..,..
1978M02,1978M02,World,WLD,..,..,..
1978M03,1978M03,World,WLD,..,..,..
1978M04,1978M04,World,WLD,..,..,..
1978M05,1978M05,World,WLD,..,..,..
1978M06,1978M06,World,WLD,..,..,..
1978M07,1978M07,World,WLD,..,..,..
1978M08,1978M08,World,WLD,..,..,..
1978M09,1978M09,World,WLD,..,..,..
1978M10,1978M10,World,WLD,..,..,..
1978M11,1978M11,World,WLD,..,..,..
1978M12,1978M12,World,WLD,..,..,..
1979,1979,World,WLD,105.21662972048,108.51014414962,81.83371386943
1979M01,1979M01,World,WLD,..,..,..
1979M02,1979M02,World,WLD,..,..,..
1979M03,1979M03,World,WLD,..,..,..
1979M04,1979M04,World,WLD,..,..,..
1979M05,1979M05,World,WLD,..,..,..
1979M06,1979M06,World,WLD,..,..,..
1979M07,1979M07,World,WLD,..,..,..
1979M08,1979M08,World,WLD,..,..,..
1979M09,1979M09,World,WLD,..,..,..
1979M10,1979M10,World,WLD,..,..,..
1979M11,1979M11,World,WLD,..,..,..
1979M12,1979M12,World,WLD,..,..,..
1980,1980,World,WLD,109.9264894253,113.7981721715,82.23771115784
1980M01,1980M01,World,WLD,..,..,..
1980M02,1980M02,World,WLD,..,..,..
1980M03,1980M03,World,WLD,..,..,..
1980M04,1980M04,World,WLD,..,..,..
1980M05,1980M05,World,WLD,..,..,..
1980M06,1980M06,World,WLD,..,..,..
1980M07,1980M07,World,WLD,..,..,..
1980M08,1980M08,World,WLD,..,..,..
1980M09,1980M09,World,WLD,..,..,..
1980M10,1980M10,World,WLD,..,..,..
1980M11,1980M11,World,WLD,..,..,..
1980M12,1980M12,World,WLD,..,..,..
1981,1981,World,WLD,102.18649564156,120.52659816162,72.00126061305
1981M01,1981M01,World,WLD,..,..,..
1981M02,1981M02,World,WLD,..,..,..
1981M03,1981M03,World,WLD,..,..,..
1981M04,1981M04,World,WLD,..,..,..
1981M05,1981M05,World,WLD,..,..,..
1981M06,1981M06,World,WLD,..,..,..
1981M07,1981M07,World,WLD,..,..,..
1981M08,1981M08,World,WLD,..,..,..
1981M09,1981M09,World,WLD,..,..,..
1981M10,1981M10,World,WLD,..,..,..
1981M11,1981M11,World,WLD,..,..,..
1981M12,1981M12,World,WLD,..,..,..
1982,1982,World,WLD,84.245958825,95.39263928353,69.34531456527
1982M01,1982M01,World,WLD,..,..,..
1982M02,1982M02,World,WLD,..,..,..
1982M03,1982M03,World,WLD,..,..,..
1982M04,1982M04,World,WLD,..,..,..
1982M05,1982M05,World,WLD,..,..,..
1982M06,1982M06,World,WLD,..,..,..
1982M07,1982M07,World,WLD,..,..,..
1982M08,1982M08,World,WLD,..,..,..
1982M09,1982M09,World,WLD,..,..,..
1982M10,1982M10,World,WLD,..,..,..
1982M11,1982M11,World,WLD,..,..,..
1982M12,1982M12,World,WLD,..,..,..
1983,1983,World,WLD,94.19436291666,105.68587912301,74.43665167811
1983M01,1983M01,World,WLD,..,..,..
1983M02,1983M02,World,WLD,..,..,..
1983M03,1983M03,World,WLD,..,..,..
1983M04,1983M04,World,WLD,..,..,..
1983M05,1983M05,World,WLD,..,..,..
1983M06,1983M06,World,WLD,..,..,..
1983M07,1983M07,World,WLD,..,..,..
1983M08,1983M08,World,WLD,..,..,..
1983M09,1983M09,World,WLD,..,..,..
1983M10,1983M10,World,WLD,..,..,..
1983M11,1983M11,World,WLD,..,..,..
1983M12,1983M12,World,WLD,..,..,..
1984,1984,World,WLD,98.73990681813,104.90253701244,78.30157377925
1984M01,1984M01,World,WLD,..,..,..
1984M02,1984M02,World,WLD,..,..,..
1984M03,1984M03,World,WLD,..,..,..
1984M04,1984M04,World,WLD,..,..,..
1984M05,1984M05,World,WLD,..,..,..
1984M06,1984M06,World,WLD,..,..,..
1984M07,1984M07,World,WLD,..,..,..
1984M08,1984M08,World,WLD,..,..,..
1984M09,1984M09,World,WLD,..,..,..
1984M10,1984M10,World,WLD,..,..,..
1984M11,1984M11,World,WLD,..,..,..
1984M12,1984M12,World,WLD,..,..,..
1985,1985,World,WLD,82.27833746677,89.69621312206,66.12420125203
1985M01,1985M01,World,WLD,..,..,..
1985M02,1985M02,World,WLD,..,..,..
1985M03,1985M03,World,WLD,..,..,..
1985M04,1985M04,World,WLD,..,..,..
1985M05,1985M05,World,WLD,..,..,..
1985M06,1985M06,World,WLD,..,..,..
1985M07,1985M07,World,WLD,..,..,..
1985M08,1985M08,World,WLD,..,..,..
1985M09,1985M09,World,WLD,..,..,..
1985M10,1985M10,World,WLD,..,..,..
1985M11,1985M11,World,WLD,..,..,..
1985M12,1985M12,World,WLD,..,..,..
1986,1986,World,WLD,62.65831304272,65.30290535832,58.73209919408
1986M01,1986M01,World,WLD,..,..,..
1986M02,1986M02,World,WLD,..,..,..
1986M03,1986M03,World,WLD,..,..,..
1986M04,1986M04,World,WLD,..,..,..
1986M05,1986M05,World,WLD,..,..,..
1986M06,1986M06,World,WLD,..,..,..
1986M07,1986M07,World,WLD,..,..,..
1986M08,1986M08,World,WLD,..,..,..
1986M09,1986M09,World,WLD,..,..,..
1986M10,1986M10,World,WLD,..,..,..
1986M11,1986M11,World,WLD,..,..,..
1986M12,1986M12,World,WLD,..,..,..
1987,1987,World,WLD,61.09418893386,58.38435222837,67.53708719619
1987M01,1987M01,World,WLD,..,..,..
1987M02,1987M02,World,WLD,..,..,..
1987M03,1987M03,World,WLD,..,..,..
1987M04,1987M04,World,WLD,..,..,..
1987M05,1987M05,World,WLD,..,..,..
1987M06,1987M06,World,WLD,..,..,..
1987M07,1987M07,World,WLD,..,..,..
1987M08,1987M08,World,WLD,..,..,..
1987M09,1987M09,World,WLD,..,..,..
1987M10,1987M10,World,WLD,..,..,..
1987M11,1987M11,World,WLD,..,..,..
1987M12,1987M12,World,WLD,..,..,..
1988,1988,World,WLD,73.10712983226,73.22810503912,62.26045915256
1988M01,1988M01,World,WLD,..,..,..
1988M02,1988M02,World,WLD,..,..,..
1988M03,1988M03,World,WLD,..,..,..
